int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
97,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,7530.97,50,1,0.75,1000,11.13333333,99,99,99,99,99,0.94,1,1,0.957446809,0,0,1.02,1.044722592
98,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,21795.7,50,1,0.75,1000,0.1,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.001640141
99,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,47439.3,50,1,0.75,1000,25,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000113718
100,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,6752.74,50,1,0.75,1000,25,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000526737
101,0.8,0.7,1,0,0.0011,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,89347.8,50,1,0.75,1000,0,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004889854
102,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,7890.66,50,1,0.75,1000,0,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.002164098
103,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,88169.6,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000993589
104,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,16127.9,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.004515631
105,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,72712.2,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000193825
106,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,133984,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000848931
107,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,152930,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.002196126
108,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,19856.4,50,1,0.75,1000,0.011111111,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000831268
109,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,106396,50,1,0.75,1000,0,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.000992457
110,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,3807.8,50,1,0.75,1000,4.183333333,99,99,99,99,99,1,1,1,1,0,0,1.02,1.000017029
111,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,14586.3,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.180641558
112,0.8,0.7,1,0,0,0.1,2,0.2,0.8,0.5,0.6,0.8,0.5,0,119192,50,1,0.75,1000,-999,99,99,99,99,99,0.82,1,1,0.853658537,0,0,1.02,1.030468129
